use_kWh,pay
1,1150
2,1280
3,1410
4,1540
5,1670
6,1790
7,1930
8,2050
9,2180
10,2310
11,2430
12,2570
13,2690
14,2820
15,2950
16,3080
17,3210
18,3330
19,3460
20,3590
21,3720
22,3850
23,3970
24,4110
25,4230
26,4360
27,4490
28,4620
29,4750
30,4870
31,5010
32,5130
33,5260
34,5390
35,5510
36,5650
37,5770
38,5900
39,6030
40,6160
41,6290
42,6410
43,6540
44,6670
45,6800
46,6930
47,7050
48,7190
49,7310
50,7450
51,7570
52,7700
53,7830
54,7950
55,8090
56,8210
57,8350
58,8470
59,8600
60,8730
61,8850
62,8990
63,9110
64,9240
65,9370
66,9490
67,9630
68,9750
69,9880
70,10010
71,10140
72,10270
73,10390
74,10530
75,10650
76,10780
77,10910
78,11030
79,11170
80,11290
81,11420
82,11550
83,11680
84,11810
85,11930
86,12070
87,12190
88,12320
89,12450
90,12570
91,12710
92,12830
93,12960
94,13090
95,13220
96,13350
97,13470
98,13610
99,13730
100,13870
101,13990
102,14110
103,14250
104,14370
105,14510
106,14630
107,14760
108,14890
109,15010
110,15150
111,15270
112,15400
113,15530
114,15650
115,15790
116,15910
117,16050
118,16170
119,16300
120,16430
121,16550
122,16690
123,16810
124,16950
125,17070
126,17190
127,17330
128,17450
129,17590
130,17710
131,17840
132,17970
133,18090
134,18230
135,18350
136,18480
137,18610
138,18740
139,18870
140,18990
141,19130
142,19250
143,19380
144,19510
145,19630
146,19770
147,19890
148,20030
149,20150
150,20290
151,20410
152,20530
153,20670
154,20790
155,20930
156,21050
157,21170
158,21310
159,21430
160,21570
161,21690
162,21820
163,21950
164,22070
165,22210
166,22330
167,22470
168,22590
169,22710
170,22850
171,22970
172,23110
173,23230
174,23360
175,23490
176,23610
177,23750
178,23870
179,24010
180,24130
181,24250
182,24390
183,24510
184,24650
185,24770
186,24900
187,25030
188,25150
189,25290
190,25410
191,25550
192,25670
193,25790
194,25930
195,26050
196,26190
197,26310
198,26440
199,26570
200,26690
201,27720
202,27950
203,28190
204,28430
205,28660
206,28900
207,29130
208,29370
209,29610
210,29850
211,30070
212,30310
213,30550
214,30790
215,31020
216,31250
217,31490
218,31730
219,31970
220,32200
221,32440
222,32670
223,32910
224,33140
225,33380
226,33620
227,33860
228,34080
229,34320
230,34560
231,34800
232,35040
233,35260
234,35500
235,35740
236,35980
237,36210
238,36450
239,36680
240,36920
241,37150
242,37390
243,37630
244,37870
245,38100
246,38330
247,38570
248,38810
249,39050
250,39280
251,39510
252,39750
253,39990
254,40220
255,40460
256,40690
257,40930
258,41160
259,41400
260,41640
261,41880
262,42110
263,42340
264,42580
265,42820
266,43060
267,43290
268,43520
269,43760
270,44000
271,44230
272,44470
273,44700
274,44940
275,45180
276,45410
277,45650
278,45890
279,46120
280,46350
281,46590
282,46830
283,47070
284,47300
285,47530
286,47770
287,48010
288,48250
289,48480
290,48720
291,48950
292,49190
293,49420
294,49660
295,49900
296,50130
297,50360
298,50600
299,50840
300,51080
301,51320
302,51540
303,51780
304,52020
305,52260
306,52490
307,52730
308,52960
309,53200
310,53430
311,53670
312,53910
313,54140
314,54370
315,54610
316,54850
317,55090
318,55330
319,55550
320,55790
321,56030
322,56270
323,56500
324,56740
325,56970
326,57210
327,57440
328,57680
329,57920
330,58160
331,58390
332,58620
333,58860
334,59100
335,59340
336,59560
337,59800
338,60040
339,60280
340,60510
341,60750
342,60980
343,61220
344,61460
345,61690
346,61930
347,62170
348,62400
349,62630
350,62870
351,63110
352,63350
353,63570
354,63810
355,64050
356,64290
357,64530
358,64760
359,64990
360,65230
361,65470
362,65700
363,65940
364,66180
365,66410
366,66640
367,66880
368,67120
369,67360
370,67590
371,67820
372,68060
373,68300
374,68540
375,68770
376,69000
377,69240
378,69480
379,69710
380,69950
381,70190
382,70420
383,70650
384,70890
385,71130
386,71370
387,71610
388,71830
389,72070
390,72310
391,72550
392,72780
393,73010
394,73250
395,73490
396,73720
397,73960
398,74200
399,74430
400,74670
401,81490
402,81830
403,82170
404,82510
405,82850
406,83190
407,83530
408,83870
409,84220
410,84570
411,84900
412,85240
413,85580
414,85930
415,86270
416,86610
417,86950
418,87300
419,87640
420,87980
421,88320
422,88660
423,89000
424,89340
425,89680
426,90020
427,90370
428,90710
429,91050
430,91390
431,91730
432,92070
433,92410
434,92750
435,93090
436,93440
437,93780
438,94120
439,94460
440,94800
441,95140
442,95480
443,95820
444,96160
445,96510
446,96850
447,97190
448,97530
449,97870
450,98210
451,98550
452,98890
453,99230
454,99580
455,99920
456,100260
457,100610
458,100950
459,101290
460,101630
461,101970
462,102310
463,102660
464,103000
465,103340
466,103680
467,104020
468,104360
469,104700
470,105040
471,105380
472,105730
473,106070
474,106410
475,106750
476,107090
477,107430
478,107770
479,108110
480,108450
481,108800
482,109140
483,109480
484,109820
485,110160
486,110500
487,110840
488,111180
489,111520
490,111870
491,112210
492,112550
493,112890
494,113230
495,113570
496,113910
497,114250
498,114590
499,114940
500,115290
501,115620
502,115960
503,116300
504,116650
505,116990
506,117330
507,117670
508,118020
509,118360
510,118700
511,119040
512,119380
513,119720
514,120060
515,120400
516,120740
517,121090
518,121430
519,121770
520,122110
521,122450
522,122790
523,123130
524,123470
525,123810
526,124160
527,124500
528,124840
529,125180
530,125520
531,125860
532,126200
533,126540
534,126880
535,127230
536,127570
537,127910
538,128250
539,128590
540,128930
541,129270
542,129610
543,129950
544,130300
545,130640
546,130980
547,131330
548,131670
549,132010
550,132350
551,132690
552,133030
553,133380
554,133720
555,134060
556,134400
557,134740
558,135080
559,135420
560,135760
561,136100
562,136450
563,136790
564,137130
565,137470
566,137810
567,138150
568,138490
569,138830
570,139170
571,139520
572,139860
573,140200
574,140540
575,140880
576,141220
577,141560
578,141900
579,142240
580,142590
581,142930
582,143270
583,143610
584,143950
585,144290
586,144630
587,144970
588,145310
589,145660
590,146010
591,146340
592,146680
593,147020
594,147370
595,147710
596,148050
597,148390
598,148740
599,149080
600,149420
601,149760
602,150100
603,150440
604,150780
605,151120
606,151460
607,151810
608,152150
609,152490
610,152830
611,153170
612,153510
613,153850
614,154190
615,154530
616,154880
617,155220
618,155560
619,155900
620,156240
621,156580
622,156920
623,157260
624,157600
625,157950
626,158290
627,158630
628,158970
629,159310
630,159650
631,159990
632,160330
633,160670
634,161020
635,161360
636,161700
637,162050
638,162390
639,162730
640,163070
641,163410
642,163750
643,164100
644,164440
645,164780
646,165120
647,165460
648,165800
649,166140
650,166480
651,166820
652,167170
653,167510
654,167850
655,168190
656,168530
657,168870
658,169210
659,169550
660,169890
661,170240
662,170580
663,170920
664,171260
665,171600
666,171940
667,172280
668,172620
669,172960
670,173310
671,173650
672,173990
673,174330
674,174670
675,175010
676,175350
677,175690
678,176030
679,176370
680,176730
681,177060
682,177400
683,177740
684,178090
685,178430
686,178770
687,179110
688,179450
689,179800
690,180140
691,180480
692,180820
693,181160
694,181500
695,181840
696,182180
697,182520
698,182870
699,183210
700,183550
701,183890
702,184230
703,184570
704,184910
705,185250
706,185590
707,185940
708,186280
709,186620
710,186960
711,187300
712,187640
713,187980
714,188320
715,188660
716,189010
717,189350
718,189690
719,190030
720,190370
721,190710
722,191050
723,191390
724,191730
725,192080
726,192420
727,192770
728,193110
729,193450
730,193790
731,194130
732,194470
733,194810
734,195160
735,195500
736,195840
737,196180
738,196520
739,196860
740,197200
741,197540
742,197880
743,198230
744,198570
745,198910
746,199250
747,199590
748,199930
749,200270
750,200610
751,200950
752,201300
753,201640
754,201980
755,202320
756,202660
757,203000
758,203340
759,203680
760,204020
761,204370
762,204710
763,205050
764,205390
765,205730
766,206070
767,206410
768,206750
769,207090
770,207440
771,207780
772,208120
773,208460
774,208800
775,209140
776,209480
777,209830
778,210170
779,210520
780,210860
781,211200
782,211540
783,211880
784,212220
785,212560
786,212900
787,213240
788,213590
789,213930
790,214270
791,214610
792,214950
793,215290
794,215630
795,215970
796,216310
797,216660
798,217000
799,217340
800,217680
801,218020
802,218360
803,218700
804,219040
805,219380
806,219730
807,220070
808,220410
809,220750
810,221090
811,221430
812,221770
813,222110
814,222450
815,222800
816,223140
817,223480
818,223820
819,224160
820,224510
821,224840
822,225180
823,225520
824,225880
825,226220
826,226560
827,226900
828,227240
829,227580
830,227920
831,228260
832,228600
833,228950
834,229290
835,229630
836,229970
837,230310
838,230650
839,230990
840,231330
841,231670
842,232020
843,232360
844,232700
845,233040
846,233380
847,233720
848,234060
849,234400
850,234740
851,235090
852,235430
853,235770
854,236110
855,236450
856,236790
857,237130
858,237470
859,237810
860,238160
861,238500
862,238840
863,239180
864,239520
865,239860
866,240200
867,240550
868,240890
869,241240
870,241580
871,241920
872,242260
873,242600
874,242940
875,243280
876,243620
877,243960
878,244310
879,244650
880,244990
881,245330
882,245670
883,246010
884,246350
885,246690
886,247030
887,247380
888,247720
889,248060
890,248400
891,248740
892,249080
893,249420
894,249760
895,250100
896,250450
897,250790
898,251130
899,251470
900,251810
901,252150
902,252490
903,252830
904,253170
905,253520
906,253860
907,254200
908,254540
909,254880
910,255230
911,255560
912,255900
913,256240
914,256600
915,256940
916,257280
917,257620
918,257960
919,258300
920,258640
921,258980
922,259320
923,259670
924,260010
925,260350
926,260690
927,261030
928,261370
929,261710
930,262050
931,262390
932,262740
933,263080
934,263420
935,263760
936,264100
937,264440
938,264780
939,265120
940,265460
941,265810
942,266150
943,266490
944,266830
945,267170
946,267510
947,267850
948,268190
949,268530
950,268880
951,269220
952,269560
953,269900
954,270240
955,270580
956,270920
957,271270
958,271610
959,271960
960,272300
961,272640
962,272980
963,273320
964,273660
965,274000
966,274340
967,274680
968,275030
969,275370
970,275710
971,276050
972,276390
973,276730
974,277070
975,277410
976,277750
977,278100
978,278440
979,278780
980,279120
981,279460
982,279800
983,280140
984,280480
985,280820
986,281160
987,281510
988,281850
989,282190
990,282530
991,282870
992,283210
993,283550
994,283890
995,284230
996,284580
997,284920
998,285260
999,285600
1000,285950
